model,problem_id,reasoning_similarity
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,0.8286161422729492
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,0.6202041506767273
Qwen/Qwen2.5-0.5B-Instruct,logic_1,0.7473520040512085
Qwen/Qwen2.5-0.5B-Instruct,logic_2,0.7689914703369141
Qwen/Qwen2.5-0.5B-Instruct,probability_1,0.8824098110198975
Qwen/Qwen2.5-0.5B-Instruct,probability_2,0.31421780586242676
Qwen/Qwen2.5-0.5B-Instruct,word_1,0.6544641256332397
Qwen/Qwen2.5-0.5B-Instruct,word_2,0.9216409921646118
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,0.8961524963378906
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,0.8543097972869873
EleutherAI/pythia-410m,arithmetic_1,0.9199892282485962
EleutherAI/pythia-410m,arithmetic_2,0.7469033002853394
EleutherAI/pythia-410m,logic_1,0.13158367574214935
EleutherAI/pythia-410m,logic_2,0.5504521131515503
EleutherAI/pythia-410m,probability_1,0.7719906568527222
EleutherAI/pythia-410m,probability_2,0.16025489568710327
EleutherAI/pythia-410m,word_1,0.9124834537506104
EleutherAI/pythia-410m,word_2,0.840406596660614
EleutherAI/pythia-410m,multistep_1,0.17789047956466675
EleutherAI/pythia-410m,multistep_2,0.9360126852989197
